SKU,Attribute_set_code,Name,Brand,Style_code,size,product_type,measuring_unit,price,shape_type,length_type,color,ideal_for,pattern,occasion,brand_color,fabric,pack_of,neck_type,sleeve_length,suitable_for,fabric_care,model_name,pockets,description,search_title,type
KK0007-L,Default,White Plain A-line Women's Kurti,Kiaasa,KK0007,L,simple,Regular,2899,A-line,Calf Length,White,Women's,Plain,Casual,White,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0007-M,Default,White Plain A-line Women's Kurti,Kiaasa,KK0007,M,simple,Regular,2899,A-line,Calf Length,White,Women's,Plain,Casual,White,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0007-S,Default,White Plain A-line Women's Kurti,Kiaasa,KK0007,S,simple,Regular,2899,A-line,Calf Length,White,Women's,Plain,Casual,White,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0007-XL,Default,White Plain A-line Women's Kurti,Kiaasa,KK0007,XL,simple,Regular,2899,A-line,Calf Length,White,Women's,Plain,Casual,White,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0007-XXL,Default,White Plain A-line Women's Kurti,Kiaasa,KK0007,XXL,simple,Regular,2899,A-line,Calf Length,White,Women's,Plain,Casual,White,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0008-L,Default,Pink Printed Layered Women's Kurti,Kiaasa,KK0008,L,simple,Regular,4999,Layered,Ankle Length,Pink,Women's,Printed,Casual,Pink,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0008-M,Default,Pink Printed Layered Women's Kurti,Kiaasa,KK0008,M,simple,Regular,4999,Layered,Ankle Length,Pink,Women's,Printed,Casual,Pink,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0008-S,Default,Pink Printed Layered Women's Kurti,Kiaasa,KK0008,S,simple,Regular,4999,Layered,Ankle Length,Pink,Women's,Printed,Casual,Pink,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0008-XL,Default,Pink Printed Layered Women's Kurti,Kiaasa,KK0008,XL,simple,Regular,4999,Layered,Ankle Length,Pink,Women's,Printed,Casual,Pink,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0008-XXL,Default,Pink Printed Layered Women's Kurti,Kiaasa,KK0008,XXL,simple,Regular,4999,Layered,Ankle Length,Pink,Women's,Printed,Casual,Pink,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0009-L,Default,Light Yellow Printed Layered Women's Kurti,Kiaasa,KK0009,L,simple,Regular,4999,Layered,Ankle Length,Light Yellow,Women's,Printed,Casual,Light Yellow,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0009-M,Default,Light Yellow Printed Layered Women's Kurti,Kiaasa,KK0009,M,simple,Regular,4999,Layered,Ankle Length,Light Yellow,Women's,Printed,Casual,Light Yellow,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0009-S,Default,Light Yellow Printed Layered Women's Kurti,Kiaasa,KK0009,S,simple,Regular,4999,Layered,Ankle Length,Light Yellow,Women's,Printed,Casual,Light Yellow,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0009-XL,Default,Light Yellow Printed Layered Women's Kurti,Kiaasa,KK0009,XL,simple,Regular,4999,Layered,Ankle Length,Light Yellow,Women's,Printed,Casual,Light Yellow,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0009-XXL,Default,Light Yellow Printed Layered Women's Kurti,Kiaasa,KK0009,XXL,simple,Regular,4999,Layered,Ankle Length,Light Yellow,Women's,Printed,Casual,Light Yellow,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this elegant draped Printed layerd kurta with embroidery on neckline and detailings on front.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0010-L,Default,peach Solid A-line Women's Kurti,Kiaasa,KK0010,L,simple,Regular,3149,A-line,Calf Length,Peach,Women's,Solid,Casual,peach,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0010-M,Default,peach Solid A-line Women's Kurti,Kiaasa,KK0010,M,simple,Regular,3149,A-line,Calf Length,Peach,Women's,Solid,Casual,peach,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0010-S,Default,peach Solid A-line Women's Kurti,Kiaasa,KK0010,S,simple,Regular,3149,A-line,Calf Length,Peach,Women's,Solid,Casual,peach,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0010-XL,Default,peach Solid A-line Women's Kurti,Kiaasa,KK0010,XL,simple,Regular,3149,A-line,Calf Length,Peach,Women's,Solid,Casual,peach,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0010-XXL,Default,peach Solid A-line Women's Kurti,Kiaasa,KK0010,XXL,simple,Regular,3149,A-line,Calf Length,Peach,Women's,Solid,Casual,peach,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0011-L,Default,Light Yellow Solid A-line Women's Kurti,Kiaasa,KK0011,L,simple,Regular,3149,A-line,Calf Length,Light Yellow,Women's,Solid,Casual,Light Yellow,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0011-M,Default,Light Yellow Solid A-line Women's Kurti,Kiaasa,KK0011,M,simple,Regular,3149,A-line,Calf Length,Light Yellow,Women's,Solid,Casual,Light Yellow,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0011-S,Default,Light Yellow Solid A-line Women's Kurti,Kiaasa,KK0011,S,simple,Regular,3149,A-line,Calf Length,Light Yellow,Women's,Solid,Casual,Light Yellow,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0011-XL,Default,Light Yellow Solid A-line Women's Kurti,Kiaasa,KK0011,XL,simple,Regular,3149,A-line,Calf Length,Light Yellow,Women's,Solid,Casual,Light Yellow,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0011-XXL,Default,Light Yellow Solid A-line Women's Kurti,Kiaasa,KK0011,XXL,simple,Regular,3149,A-line,Calf Length,Light Yellow,Women's,Solid,Casual,Light Yellow,Cotton,1,Round,Sleeveless,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,A summer friendly sleevless paneled kurta with beautiful embroidery on yoke and lace detailing in the panels.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0012-L,Default,Light Yellow Printed A-line Women's Kurti,Kiaasa,KK0012,L,simple,Regular,4149,A-line,Calf Length,Yellow,Women's,Printed,Semi Formal,Light Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
